lemma[key],pos[key],negation,score,positive,negative,sentiment
extremely,r,0,0.14,0,0,1
fairly,r,0,0.09,0,0,0
finally,r,0,0.14,0,0,0
firmly,r,0,0.13,0,0,1
forcefully,r,0,0.14,0,0,1
frequently,r,0,0.14,0,0,0
fully,r,0,0.14,0,0,0
fundamentally,r,0,0.14,0,0,1
generally,r,0,0.11,0,0,0
genuinely,r,0,0.11,0,0,1
gravely,r,0,0.11,0,0,1
greatly,r,0,0.14,0,0,0
habitually,r,0,0.11,0,0,1
hardly,r,1,0.1,0,0,1
heavily,r,0,0.13,0,0,1
highly,r,0,0.14,0,0,1
hypothetically,r,0,0.09,0,0,1
ideally,r,0,0.11,0,0,1
immediately,r,0,0.11,0,0,1
immensely,r,0,0.14,0,0,1
imperiously,r,0,0.13,0,0,1
inauspiciously,r,0,0.09,0,0,1
incidentally,r,0,0.09,0,0,1
incisively,r,0,0.11,0,0,1
increasingly,r,0,0.13,0,0,1
inevitably,r,0,0.14,0,0,1
infrequently,r,1,0.1,0,0,0
instantly,r,0,0.11,0,0,0
intensely,r,0,0.11,0,0,1
just,r,0,0.09,0,0,0
largely,r,0,0.09,0,0,0
lightly,r,0,0.09,0,0,0
likely,r,0,0.09,0,0,0
madly,r,0,0.11,0,0,1
mainly,r,0,0.09,0,0,0
markedly,r,0,0.14,0,0,1
materially,r,0,0.13,0,0,1
maybe,r,0,0.09,0,0,0
merely,r,0,0.06,0,0,0
moderately,r,0,0.09,0,0,0
more,r,0,0.13,0,0,0
mostly,r,0,0.09,0,0,0
much,r,0,0.13,0,0,0
nearly,r,0,0.09,0,0,0
necessarily,r,0,0.14,0,0,1
occasionally,r,1,0.1,0,0,0
officially,r,0,0.13,0,0,1
only,r,0,0.09,0,0,0
ordinarily,r,0,0.11,0,0,1
otherwise,o,0,0.11,0,0,0
particularly,r,0,0.11,0,0,0
partly,r,0,0.09,0,0,0
perfectly,r,0,0.14,0,0,1
perpetually,r,0,0.11,0,0,1
plainly,r,0,0.11,0,0,0
pointedly,r,0,0.11,0,0,1
possibly,r,0,0.09,0,0,0
practically,r,0,0.11,0,0,0
precisely,r,0,0.14,0,0,1
primarily,r,0,0.14,0,0,0
principally,r,0,0.14,0,0,0
probably,r,0,0.09,0,0,0
properly,r,0,0.11,0,0,0
purposely,r,0,0.14,0,0,1
putatively,r,0,0.09,0,0,1
quite,r,0,0.09,0,0,0
rarely,r,1,0.1,0,0,0
rather,r,0,0.09,0,0,0
really,r,0,0.11,0,0,0
relatively,r,0,0.06,0,0,0
repeatedly,r,0,0.11,0,0,1
roughly,r,0,0.09,0,0,0
safely,r,0,0.14,0,0,1
scarcely,r,1,0.1,0,0,0
seemingly,r,0,0.09,0,0,0
seldom,r,1,0.1,0,0,0
seriously,r,0,0.11,0,0,1
shortly,r,0,0.11,0,0,0
slightly,r,0,0.06,0,0,0
slowly,r,0,0.09,0,0,0
solely ,r,0,0.09,0,0,0
solidly,r,0,0.13,0,0,0
some,r,0,0.09,0,0,0
somehow,r,0,0.09,0,0,0
somewhat,r,0,0.09,0,0,0
soundly,r,0,0.14,0,0,1
specifically,r,0,0.11,0,0,0
strictly,r,0,0.14,0,0,1
strongly,r,0,0.14,0,0,1
substantially,r,0,0.14,0,0,1
supposedly,r,0,0.09,0,0,0
supremely,r,0,0.14,0,0,1
surely,r,0,0.11,0,0,0
thoroughly,r,0,0.14,0,0,1
totally,r,0,0.14,0,0,1
tremendously,r,0,0.14,0,0,1
truly,r,0,0.11,0,0,1
ultimately,r,0,0.14,0,0,1
understandably,r,0,0.11,0,0,1
unquestionably,r,0,0.14,0,0,1
usually,r,0,0.11,0,0,0
very,r,0,0.14,0,0,0
weakly,r,0,0.06,0,0,0
wholly,r,0,0.14,0,0,0
widely,r,0,0.13,0,0,0
drastically,r,0,0.14,0,0,1
pretty,r,0,0.08,1,0,0
most,r,0,0.14,0,0,0
purely,r,0,0.14,0,0,0
intimately,r,0,0.14,0,0,1
so,r,0,0.11,0,0,0
too,r,0,0.12,0,0,0
often,r,0,0.11,0,0,0
freaking,r,0,0.14,0,0,1
equally,r,0,0.1,0,0,0
way,r,0,0.12,0,0,0
incredibly,r,0,0.14,0,0,1
well,r,0,0.12,1,0,0
