lemma[key],pos[key],positive,negative,sentiment,ambiguous,ambiguous-when-modified,positive-when-modified
adornment,n,1,0,0,0,0,0
adroit,a,1,0,0,0,0,0
adroitly,a,1,0,0,0,0,0
adulterate,v,0,1,0,0,0,0
adulteration,n,0,1,0,0,0,0
adultery,n,0,1,0,0,0,0
advance,v,1,0,0,0,0,0
advanced,a,1,0,0,0,0,0
advantage,n,1,0,0,0,0,0
advantageous,a,1,0,0,0,0,0
adventuresome,a,1,0,0,0,0,0
adventurous,a,1,0,0,0,0,0
adversary,n,0,1,0,0,0,0
adversity,n,0,1,0,0,0,0
advisable,a,1,0,0,0,0,0
affability,n,1,0,0,0,0,0
affable,a,1,0,0,0,0,0
affectation,n,0,1,0,0,0,0
affiliate,v,1,0,0,0,0,0
affirmation,n,1,0,0,0,0,0
afflict,v,0,1,0,0,0,0
affliction,n,0,1,0,0,0,0
affluence,n,1,0,0,0,0,0
affluent,a,1,0,0,0,0,0
aggression,n,0,1,0,0,0,0
aggressor,n,0,1,0,0,0,0
aggrieve,v,0,1,0,0,0,0
aghast,a,0,1,0,0,0,0
agile,a,1,0,0,0,0,0
agility,n,1,0,0,0,0,0
agitate,v,0,1,0,0,0,0
agitator,n,0,1,0,0,0,0
aid,n,1,0,0,0,0,0
aid,v,1,0,0,0,0,0
aimless,a,0,1,0,0,0,0
alarming,a,0,1,0,0,0,0
alcoholism,n,0,1,0,0,0,0
alertness,n,1,0,0,0,0,0
alight,a,1,0,0,0,0,0
allegation,n,0,1,0,0,0,0
allege,v,0,1,0,0,0,0
allegiance,n,1,0,0,0,0,0
allergic,a,0,1,0,0,0,0
alleviate,v,1,0,0,0,0,0
allied,v,1,0,0,0,0,0
allowable,a,1,0,0,0,0,0
allure,n,1,0,0,0,0,0
almighty,a,1,0,0,0,0,0
aloof,a,0,1,0,0,0,0
altercation,n,0,1,0,0,0,0
altruistic,a,1,0,0,0,0,0
amazing,a,1,0,0,0,0,0
ambitious,a,1,0,0,0,0,0
ambush,n,0,1,0,0,0,0
ambush,v,0,1,0,0,0,0
ameliorate,v,1,0,0,0,0,0
amenable,a,1,0,0,0,0,0
amiability,n,1,0,0,0,0,0
amicable,a,1,0,0,0,0,0
amputate,v,0,1,0,0,0,0
analogical,a,0,0,1,0,0,0
analogise,v,0,0,1,0,0,0
analogize,v,0,0,1,0,0,0
analogous,a,0,0,1,0,0,0
anarchist,n,0,1,0,0,0,0
anarchy,n,0,1,0,0,0,0
angel,n,1,0,0,0,0,0
angelic,a,1,0,0,0,0,0
annihilate,v,0,1,0,0,0,0
annihilation,n,0,1,0,0,0,0
anomalous,a,0,1,0,0,0,0
antagonist,n,0,1,0,0,0,0
anti-social,a,0,1,0,0,0,0
antiquated,a,0,1,0,0,0,0
antitrust,a,0,1,0,0,0,0
appease,v,1,0,0,0,0,0
applaud,v,1,0,0,0,0,0
aptitude,n,1,0,0,0,0,0
arbitrary,a,0,1,0,0,0,0
arbitrate,v,1,0,0,0,0,0
arduous,a,0,1,0,0,0,0
aristocratic,a,1,0,0,0,0,0
arrest,v,0,1,0,0,0,0
arrogance,n,0,1,0,0,0,0
artificial,a,0,1,0,0,0,0
ascribe,v,1,0,0,0,0,0
assail,v,0,1,0,0,0,0
assailant,n,0,1,0,0,0,0
assassin,n,0,1,0,0,0,0
assassinate,v,0,1,0,0,0,0
assault,n,0,1,0,0,0,0
assault,v,0,1,0,0,0,0
assist,n,1,0,0,0,0,0
assist,v,1,0,0,0,0,0
assistance,n,1,0,0,0,0,0
assure,v,1,0,0,0,0,0
astute,a,1,0,0,0,0,0
asunder,a,0,1,0,0,0,0
athletic,a,1,0,0,0,0,0
atrocious,a,0,1,0,0,0,0
atrophy,v,0,1,0,0,0,0
attack,n,0,1,0,0,0,0
attack,v,0,1,0,0,0,0
attractive,a,1,0,0,0,0,0
attractiveness,n,1,0,0,0,0,0
attune,a,1,0,0,0,0,0
audacity,n,0,1,0,0,0,0
audible,a,1,0,0,0,0,0
auspicious,a,1,0,0,0,0,0
austere,a,0,1,0,0,0,0
authentic,a,1,0,0,0,0,0
authenticity,n,1,0,0,0,0,0
authoritative,a,1,0,0,0,0,0
autocratic,a,0,1,0,0,0,0
availability,n,1,0,0,0,0,0
avarice,n,0,1,0,0,0,0
avaricious,a,0,1,0,0,0,0
avenge,n,0,1,0,0,0,0
award,v,1,0,0,0,0,0
awesome,a,1,0,0,0,0,0
awful,a,0,1,0,0,0,0
awkwardness,n,0,1,0,0,0,0
awkward,a,0,1,0,0,0,0
ax,v,0,1,0,0,0,0
back,v,1,0,0,0,0,0
backwardness,n,0,1,0,0,0,0
bad,a,0,1,0,0,0,0
worst,a,0,1,0,0,0,0
badly,a,0,1,0,0,0,0
bail,v,0,1,0,0,0,0
bait,v,0,1,0,0,0,0
bald-faced,a,0,0,1,0,0,0
balk,v,0,1,0,0,0,0
balmy,a,1,0,0,0,0,0
ban,v,0,1,0,0,0,0
banal,a,0,1,0,0,0,0
bandit,n,0,1,0,0,0,0
bane,n,0,1,0,0,0,0
banish,v,0,1,0,0,0,0
banishment,n,0,1,0,0,0,0
bankrupt,a,0,1,0,0,0,0
bankruptcy,n,0,1,0,0,0,0
bar,v,0,1,0,0,0,0
barbarian,n,0,1,0,0,0,0
barbarian,a,0,1,0,0,0,0
barbaric,a,0,1,0,0,0,0
barbarous,a,0,1,0,0,0,0
bare,a,0,0,1,0,0,0
barefaced,a,0,0,1,0,0,0
bareness,n,0,0,1,0,0,0
bargain,v,1,0,0,0,0,0
barmy,a,0,0,0,0,0,0
barren,a,0,0,0,0,0,0
bastard,n,0,1,0,0,0,0
battle,v,0,1,0,0,0,0
battlefield,n,0,1,0,0,0,0
batty,a,0,1,0,0,0,0
beacon,n,1,0,0,0,0,0
beastly,a,0,1,0,0,0,0
beat,v,0,1,0,0,0,0
beaten,a,0,1,0,0,0,0
beauteous,a,1,0,0,0,0,0
beautiful,a,1,0,0,0,0,0
beautify,v,1,0,0,0,0,0
beauty,n,1,0,0,0,0,0
befit,v,1,0,0,0,0,0
befitting,a,1,0,0,0,0,0
befriend,v,1,0,0,0,0,0
beg,v,0,1,0,0,0,0
behead,n,0,1,0,0,0,0
belated,a,0,1,0,0,0,0
belie,v,0,1,0,0,0,0
belittle,v,0,1,0,0,0,0
belt,v,0,1,0,0,0,0
beloved,a,1,0,0,0,0,0
benefactor,n,1,0,0,0,0,0
beneficent,a,1,0,0,0,0,0
beneficial,a,1,0,0,0,0,0
benefit,v,1,0,0,0,0,0
benevolent,a,1,0,0,0,0,0
bereave,v,0,1,0,0,0,0
bereavement,n,0,1,0,0,0,0
beseech,v,0,1,0,0,0,0
besiege,v,0,1,0,0,0,0
bestow,v,1,0,0,0,0,0
betray,v,0,1,0,0,0,0
betrayal,n,0,1,0,0,0,0
betroth,v,1,0,0,0,0,0
better,v,1,0,0,0,0,0
beware,v,0,1,0,0,0,0
bitchy,a,0,1,0,0,0,0
biting,a,0,1,0,0,0,0
bizarre,a,0,1,0,0,0,0
blackmail,v,0,1,0,0,0,0
blameless,a,1,0,0,0,0,0
bland,a,0,1,0,0,0,0
blast,v,0,1,0,0,0,0
blemish,n,0,1,0,0,0,0
bless,v,1,0,0,0,0,0
blind,v,0,1,0,0,0,0
blinding,a,0,1,0,0,0,0
blindly,r,0,1,0,0,0,0
blindness,a,0,1,0,0,0,0
block,v,0,1,0,0,0,0
blockhead,a,0,1,0,0,0,0
bloodshed,n,0,1,0,0,0,0
bloodthirsty,a,0,1,0,0,0,0
bloom,v,1,0,0,0,0,0
blossom,v,1,0,0,0,0,0
blow,n,0,1,0,0,0,0
blunt,a,0,1,0,0,0,0
blur,v,0,1,0,0,0,0
blurt,v,0,1,0,0,0,0
boast,v,0,1,0,0,0,0
boastful,a,0,1,0,0,0,0
bogus,a,0,1,0,0,0,0
boisterous,a,0,1,0,0,0,0
bold,a,0,0,1,0,0,0
boldness,n,0,0,1,0,0,0
bolster,v,1,0,0,0,0,0
bolt,v,0,1,0,0,0,0
bomb,n,0,1,0,0,0,0
bomb,v,0,1,0,0,0,0
bombard,v,0,1,0,0,0,0
bombardment,n,0,1,0,0,0,0
bondage,n,0,1,0,0,0,0
bonny,a,1,0,0,0,0,0
boost,v,1,0,0,0,0,0
boot,v,0,1,0,0,0,0
bother,n,0,1,0,0,0,0
bothersome,n,0,1,0,0,0,0
boundless,a,1,0,0,0,0,0
bountiful,a,1,0,0,0,0,0
bout,n,0,1,0,0,0,0
brag,v,0,1,0,0,0,0
brainy,a,1,0,0,0,0,0
brandish,v,0,1,0,0,0,0
brat,a,0,1,0,0,0,0
bravery,n,1,0,0,0,0,0
brawl,v,0,1,0,0,0,0
breach,v,0,1,0,0,0,0
breakdown,v,0,1,0,0,0,0
bribe,v,0,1,0,0,0,0
brightness,n,1,0,0,0,0,0
brilliance,n,1,0,0,0,0,0
brilliant,a,1,0,0,0,0,0
brittle,a,0,1,0,0,0,0
broken,a,0,1,0,0,0,0
brotherly,a,1,0,0,0,0,0
brusque,a,0,1,0,0,0,0
brutality,n,0,1,0,0,0,0
brute,n,0,1,0,0,0,0
brutish,a,0,1,0,0,0,0
buckle,v,0,1,0,0,0,0
bug,v,0,1,0,0,0,0
bungle,v,0,1,0,0,0,0
buoyant,a,1,0,0,0,0,0
burglar,n,0,1,0,0,0,0
burglary,n,0,1,0,0,0,0
busybody,n,0,1,0,0,0,0
butchery,n,0,1,0,0,0,0
callous,a,0,1,0,0,0,0
calm,v,1,0,0,0,0,0
cancer,n,0,1,0,0,0,0
candid,a,1,0,0,0,0,0
cannibal,n,0,1,0,0,0,0
capable,a,1,0,0,0,0,0
capital,a,0,1,0,0,0,0
capitalize,v,1,0,0,0,0,0
capitulate,v,0,1,0,0,0,0
capsize,v,0,1,0,0,0,0
captive,a,0,1,0,0,0,0
careful,a,1,0,0,0,0,0
careless,a,0,1,0,0,0,0
carelessness,n,0,1,0,0,0,0
caress,v,1,0,0,0,0,0
casual,a,1,0,0,0,0,0
cataclysm,n,0,1,0,0,0,0
catastrophe,n,0,1,0,0,0,0
cave,v,0,1,0,0,0,0
ceaseless,a,1,0,0,0,0,0
celebrate,v,1,0,0,0,0,0
censor,v,0,1,0,0,0,0
censure,v,0,1,0,0,0,0
ceremonial,a,1,0,0,0,0,0
chafe,a,0,1,0,0,0,0
challenge,v,0,1,0,0,0,0
chaos,n,0,1,0,0,0,0
chaotic,a,0,1,0,0,0,0
charisma,n,1,0,0,0,0,0
charitable,a,1,0,0,0,0,0
charity,n,1,0,0,0,0,0
charm,n,1,0,0,0,0,0
chase,n,0,1,0,0,0,0
chase,v,0,1,0,0,0,0
chaste,a,1,0,0,0,0,0
chastise,v,0,1,0,0,0,0
cheater,n,0,1,0,0,0,0
cherish,v,1,0,0,0,0,0
cherub,n,1,0,0,0,0,0
chic,a,1,0,0,0,0,0
chide,v,0,1,0,0,0,0
childish,a,0,1,0,0,0,0
chivalrous,a,1,0,0,0,0,0
chivalry,n,1,0,0,0,0,0
choke,v,0,1,0,0,0,0
chosen,a,1,0,0,0,0,0
chronic,a,0,1,0,0,0,0
civility,n,1,0,0,0,0,0
civilize,v,1,0,0,0,0,0
clarify,v,1,0,0,0,0,0
clash,v,0,1,0,0,0,0
clean,v,1,0,0,0,0,0
cleanliness,n,1,0,0,0,0,0
clear,v,1,0,0,0,0,0
clearer,a,1,0,0,0,0,0
clearest,a,1,0,0,0,0,0
clog,v,0,1,0,0,0,0
club,v,0,1,0,0,0,0
clumsy,a,0,1,0,0,0,0
clutter,n,0,1,0,0,0,0
co-operation,n,1,0,0,0,0,0
coarse,a,0,1,0,0,0,0
coarseness,n,0,1,0,0,0,0
coax,v,1,0,0,0,0,0
cockiness,n,0,1,0,0,0,0
cocky,a,0,1,0,0,0,0
coddle,v,1,0,0,0,0,0
coerce,v,0,1,0,0,0,0
coercion,n,0,1,0,0,0,0
coercive,a,0,1,0,0,0,0
cogent,a,1,0,0,0,0,0
cognizant,a,1,0,0,0,0,0
coherent,a,1,0,0,0,0,0
coldly,r,0,1,0,0,0,0
collapse,v,0,1,0,0,0,0
collide,v,0,1,0,0,0,0
collision,n,0,1,0,0,0,0
collusion,v,0,1,0,0,0,0
colossal,a,1,0,0,0,0,0
combat,n,0,1,0,0,0,0
combat,v,0,1,0,0,0,0
combatant,a,0,1,0,0,0,0
comely,a,1,0,0,0,0,0
comestible,a,1,0,0,0,0,0
comfy,a,1,0,0,0,0,0
commemorate,v,1,0,0,0,0,0
commend,v,1,0,0,0,0,0
commendable,a,1,0,0,0,0,0
commensurate,a,1,0,0,0,0,0
commitment,n,1,0,0,0,0,0
commodious,a,1,0,0,0,0,0
commotion,n,0,1,0,0,0,0
communal,a,1,0,0,0,0,0
communicate,v,1,0,0,0,0,0
compatible,a,1,0,0,0,0,0
compensate,v,1,0,0,0,0,0
compete,v,0,1,0,0,0,0
competence,n,1,0,0,0,0,0
competency,n,1,0,0,0,0,0
competent,a,1,0,0,0,0,0
competitor,n,0,1,0,0,0,0
complain,v,0,1,0,0,0,0
complaint,n,0,1,0,0,0,0
complement,v,1,0,0,0,0,0
complementary,a,1,0,0,0,0,0
completeness,n,1,0,0,0,0,0
complicate,v,0,1,0,0,0,0
complication,n,0,1,0,0,0,0
compliment,v,1,0,0,0,0,0
composure,n,1,0,0,0,0,0
comprehensive,a,1,0,0,0,0,0
compromise,v,1,0,0,0,0,0
compulsion,n,0,1,0,0,0,0
conceal,v,0,1,0,0,0,0
conclusive,a,1,0,0,0,0,0
condemn,v,0,1,0,0,0,0
condemnation,n,0,1,0,0,0,0
condescending,a,0,1,0,0,0,0
condescension,n,0,1,0,0,0,0
conducive,a,1,0,0,0,0,0
confess,v,0,1,0,0,0,0
confide,v,1,0,0,0,0,0
confine,v,0,1,0,0,0,0
confinement,n,0,1,0,0,0,0
confiscate,v,0,1,0,0,0,0
confiscation,n,0,1,0,0,0,0
conflict,v,0,1,0,0,0,0
confront,v,0,1,0,0,0,0
confrontation,n,0,1,0,0,0,0
confused,a,0,1,0,0,0,0
confusing,a,0,1,0,0,0,0
congenial,a,1,0,0,0,0,0
congested,a,0,1,0,0,0,0
congratulate,v,1,0,0,0,0,0
congratulatory,a,1,0,0,0,0,0
congregate,v,1,0,0,0,0,0
conjure,v,1,0,0,0,0,0
conquer,v,1,0,0,0,0,0
conscientious,a,1,0,0,0,0,0
conserve,v,1,0,0,0,0,0
consistency,n,1,0,0,0,0,0
consistent,a,1,0,0,0,0,0
consolidate,v,1,0,0,0,0,0
conspiracy,n,0,1,0,0,0,0
conspire,v,0,1,0,0,0,0
constrain,v,0,1,0,0,0,0
constructive,a,1,0,0,0,0,0
consumptive,a,0,1,0,0,0,0
contagious,a,0,1,0,0,0,0
contaminate,v,0,1,0,0,0,0
contamination,n,0,1,0,0,0,0
contemptible,a,0,1,0,0,0,0
contradict,v,0,1,0,0,0,0
contribute,v,1,0,0,0,0,0
convene,v,1,0,0,0,0,0
convict,v,0,1,0,0,0,0
conviction,n,1,0,0,0,0,0
convince,v,1,0,0,0,0,0
cooperate,v,1,0,0,0,0,0
cooperation,n,1,0,0,0,0,0
cooperative,a,1,0,0,0,0,0
cooperatively,r,1,0,0,0,0,0
coordinate,v,1,0,0,0,0,0
coordination,n,1,0,0,0,0,0
cordial,a,1,0,0,0,0,0
correct,v,1,0,0,0,0,0
correctly,r,1,0,0,0,0,0
corrode,v,0,1,0,0,0,0
corrupt,a,0,1,0,0,0,0
corruption,n,0,1,0,0,0,0
counsel,v,1,0,0,0,0,0
counteract,v,0,1,0,0,0,0
counterfeit,a,0,1,0,0,0,0
courage,n,1,0,0,0,0,0
courageous,a,1,0,0,0,0,0
courteous,a,1,0,0,0,0,0
courtesy,n,1,0,0,0,0,0
courtly,a,1,0,0,0,0,0
covert,a,0,1,0,0,0,0
crafty,a,0,1,0,0,0,0
cram,v,0,1,0,0,0,0
cramp,v,0,1,0,0,0,0
crass,a,0,1,0,0,0,0
craze,n,0,1,0,0,0,0
craziness,n,0,1,0,0,0,0
crazy,a,0,0,0,1,0,0
creative,a,1,0,0,0,0,0
creativity,n,1,0,0,0,0,0
credentials,n,1,0,0,0,0,0
credibility,n,1,0,0,0,0,0
credible,a,1,0,0,0,0,0
credulous,a,0,1,0,0,0,0
crime,n,0,1,0,0,0,0
criminal,n,0,1,0,0,0,0
crisis,n,0,1,0,0,0,0
critic,n,0,1,0,0,0,0
criticize,v,0,1,0,0,0,0
croak,v,0,1,0,0,0,0
crook,n,0,1,0,0,0,0
crooked,a,0,1,0,0,0,0
crossly,r,0,1,0,0,0,0
crude,a,0,1,0,0,0,0
cruelty,n,0,1,0,0,0,0
crumble,v,0,1,0,0,0,0
crumple,v,0,1,0,0,0,0
crushing,a,0,1,0,0,0,0
culminate,v,1,0,0,0,0,0
culprit,n,0,1,0,0,0,0
cultivate,v,1,0,0,0,0,0
cultured,a,1,0,0,0,0,0
cumbersome,a,0,1,0,0,0,0
cure,v,1,0,0,0,0,0
curse,n,0,1,0,0,0,0
curse,v,0,1,0,0,0,0
cursory,a,0,1,0,0,0,0
curtail,v,0,1,0,0,0,0
cute,a,1,0,0,0,0,0
cutting,a,0,0,0,0,0,0
cynical,a,0,1,0,0,0,0
damage,n,0,1,0,0,0,0
damage,v,0,1,0,0,0,0
damnable,a,0,1,0,0,0,0
damned,a,0,1,0,0,0,0
daring,a,1,0,0,0,0,0
darken,v,0,1,0,0,0,0
darkness,n,0,1,0,0,0,0
darling,n,1,0,0,0,0,0
daunting,a,0,1,0,0,0,0
dauntless,a,1,0,0,0,0,0
dawdle,v,0,1,0,0,0,0
dazzle,v,1,0,0,0,0,0
deadlock,n,0,1,0,0,0,0
deadweight,n,0,1,0,0,0,0
deafness,n,0,1,0,0,0,0
dear,n,1,0,0,0,0,0
dearly,r,1,0,0,0,0,0
dearth,n,0,1,0,0,0,0
debatable,a,0,1,0,0,0,0
decadence,n,0,1,0,0,0,0
decadent,a,0,1,0,0,0,0
decease,v,0,1,0,0,0,0
deceit,n,0,1,0,0,0,0
deceitful,a,0,1,0,0,0,0
deceive,a,0,1,0,0,0,0
deceive,v,0,1,0,0,0,0
decency,n,1,0,0,0,0,0
decent,a,1,0,0,0,0,0
deception,n,0,1,0,0,0,0
deceptive,a,0,1,0,0,0,0
decipher,v,1,0,0,0,0,0
decisive,a,0,0,0,0,0,0
decisiveness,n,0,0,0,0,0,0
decline,v,0,1,0,0,0,0
decompose,v,0,1,0,0,0,0
decorate,v,1,0,0,0,0,0
decorative,a,1,0,0,0,0,0
dedicate,v,1,0,0,0,0,0
dedication,n,1,0,0,0,0,0
deduce,v,1,0,0,0,0,0
defame,v,0,1,0,0,0,0
default,v,0,1,0,0,0,0
defect,n,0,1,0,0,0,0
defective,a,0,1,0,0,0,0
defend,v,1,0,0,0,0,0
defensive,a,0,1,0,0,0,0
defiance,n,0,1,0,0,0,0
defiant,a,0,1,0,0,0,0
deficiency,n,0,1,0,0,0,0
deficient,a,0,1,0,0,0,0
deficit,n,0,1,0,0,0,0
defile,v,0,1,0,0,0,0
definitive,a,1,0,0,0,0,0
defy,v,0,1,0,0,0,0
delay,v,0,1,0,0,0,0
delicacy,n,1,0,0,0,0,0
delinquency,n,0,1,0,0,0,0
delinquent,a,0,1,0,0,0,0
delirium,n,0,1,0,0,0,0
delusion,n,0,1,0,0,0,0
demolish,v,0,1,0,0,0,0
demon,n,0,1,0,0,0,0
denial,n,0,1,0,0,0,0
denounce,v,0,1,0,0,0,0
deny,v,0,1,0,0,0,0
dependable,a,1,0,0,0,0,0
dependent,a,0,1,0,0,0,0
deplete,v,0,1,0,0,0,0
deplore,v,0,1,0,0,0,0
depose,v,0,1,0,0,0,0
depraved,a,0,1,0,0,0,0
depreciate,v,0,1,0,0,0,0
deprive,v,0,1,0,0,0,0
derisive,a,0,1,0,0,0,0
derogatory,a,0,1,0,0,0,0
descry,v,1,0,0,0,0,0
deserve,v,1,0,0,0,0,0
desirable,a,1,0,0,0,0,0
despicable,a,0,1,0,0,0,0
destroy,v,0,1,0,0,0,0
destruction,n,0,1,0,0,0,0
destructive,a,0,1,0,0,0,0
detain,v,0,1,0,0,0,0
deter,v,0,1,0,0,0,0
determined,a,0,0,0,0,0,0
determinedly,r,0,0,0,0,0,0
deterrent,n,0,1,0,0,0,0
detract,v,0,1,0,0,0,0
detrimental,a,0,1,0,0,0,0
devastation,n,0,1,0,0,0,0
deviate,v,0,1,0,0,0,0
devil,n,0,1,0,0,0,0
devilish,a,0,1,0,0,0,0
devious,a,0,1,0,0,0,0
devote,v,1,0,0,0,0,0
diabolic,a,0,1,0,0,0,0
diabolical,a,0,1,0,0,0,0
dictate,v,0,1,0,0,0,0
dictatorial,a,0,1,0,0,0,0
differ,v,0,1,0,0,0,0
difficulty,n,0,1,0,0,0,0
dignified,a,1,0,0,0,0,0
dilemma,n,0,1,0,0,0,0
diligent,a,1,0,0,0,0,0
disable,v,0,1,0,0,0,0
disadvantage,n,0,1,0,0,0,0
disadvantageous,a,0,1,0,0,0,0
disappointing,a,0,1,0,0,0,0
disappointingly,r,0,1,0,0,0,0
disapproval,n,0,1,0,0,0,0
disarm,v,0,1,0,0,0,0
disaster,n,0,1,0,0,0,0
disastrous,a,0,1,0,0,0,0
disavow,v,0,1,0,0,0,0
disavowal,n,0,1,0,0,0,0
discern,v,1,0,0,0,0,0
discharge,v,0,1,0,0,0,0
disclaim,v,0,1,0,0,0,0
discordant,a,0,1,0,0,0,0
discouragement,n,0,1,0,0,0,0
discredit,v,0,1,0,0,0,0
discrepant,a,0,1,0,0,0,0
discretion,n,1,0,0,0,0,0
discriminate,v,0,1,0,0,0,0
disdain,n,0,1,0,0,0,0
disease,n,0,1,0,0,0,0
diseased,a,0,1,0,0,0,0
disgrace,n,0,1,0,0,0,0
dishonest,a,0,1,0,0,0,0
disingenuous,a,0,1,0,0,0,0
disinterest,n,0,1,0,0,0,0
dismal,a,0,1,0,0,0,0
disobedience,n,0,1,0,0,0,0
disobedient,a,0,1,0,0,0,0
disorder,n,0,1,0,0,0,0
disorganized,a,0,1,0,0,0,0
dispel,v,0,1,0,0,0,0
dispense,v,0,1,0,0,0,0
displace,v,0,1,0,0,0,0
dispose,v,0,1,0,0,0,0
disproportionate,a,0,1,0,0,0,0
disprove,v,0,1,0,0,0,0
disputable,a,0,1,0,0,0,0
dispute,n,0,1,0,0,0,0
dispute,v,0,1,0,0,0,0
disrupt,v,0,1,0,0,0,0
disruption,n,0,1,0,0,0,0
dissent,n,0,1,0,0,0,0
dissention,n,0,1,0,0,0,0
distinguish,v,1,0,0,0,0,0
distinguished,a,1,0,0,0,0,0
distort,v,0,1,0,0,0,0
distracting,a,0,1,0,0,0,0
distraction,n,0,1,0,0,0,0
disturbing,a,0,1,0,0,0,0
divert,v,0,1,0,0,0,0
divine,v,1,0,0,0,0,0
divinity,n,1,0,0,0,0,0
divorce,n,0,1,0,0,0,0
divorce,v,0,1,0,0,0,0
divorced,a,0,1,0,0,0,0
dominate,v,0,1,0,0,0,0
domination,n,0,1,0,0,0,0
doom,n,0,1,0,0,0,0
doom,v,0,1,0,0,0,0
dope,n,0,1,0,0,0,0
dote,v,1,0,0,0,0,0
doubtful,a,0,1,0,0,0,0
drag,v,0,1,0,0,0,0
dreary,a,0,1,0,0,0,0
drowsy,a,0,1,0,0,0,0
drunkard,n,0,1,0,0,0,0
drunken,a,0,1,0,0,0,0
dubious,a,0,1,0,0,0,0
dump,v,0,1,0,0,0,0
dunce,n,0,1,0,0,0,0
dwindle,v,0,1,0,0,0,0
dying,a,0,1,0,0,0,0
dynamic,a,1,0,0,0,0,0
earnest,a,1,0,0,0,0,0
earnestness,n,1,0,0,0,0,0
ease,v,1,0,0,0,0,0
easily,r,1,0,0,0,0,0
eccentric,a,0,1,0,0,0,0
eccentricity,n,0,1,0,0,0,0
economize,v,1,0,0,0,0,0
edible,a,1,0,0,0,0,0
educated,a,1,0,0,0,0,0
effective,a,1,0,0,0,0,0
effectiveness,n,1,0,0,0,0,0
efficacy,n,1,0,0,0,0,0
efficiency,n,1,0,0,0,0,0
efficient,a,1,0,0,0,0,0
elegance,n,1,0,0,0,0,0
elegant,a,1,0,0,0,0,0
eliminate,v,0,1,0,0,0,0
eloquent,a,1,0,0,0,0,0
embellish,v,1,0,0,0,0,0
embrace,v,1,0,0,0,0,0
emergency,n,0,1,0,0,0,0
eminent,a,1,0,0,0,0,0
emotionless,a,0,0,0,0,0,0
emotionlessness,n,0,0,0,0,0,0
empower,v,1,0,0,0,0,0
encourage,v,1,0,0,0,0,0
encouragement,n,1,0,0,0,0,0
encouraging,a,1,0,0,0,0,0
encroach,v,0,1,0,0,0,0
endorse,v,1,0,0,0,0,0
enemy,n,0,1,0,0,0,0
energetically,r,1,0,0,0,0,0
energize,v,1,0,0,0,0,0
enforce,v,0,1,0,0,0,0
engulf,v,0,1,0,0,0,0
enhance,v,1,0,0,0,0,0
enjoyable,a,1,0,0,0,0,0
enlighten,v,1,0,0,0,0,0
enrich,v,1,0,0,0,0,0
enslave,v,0,1,0,0,0,0
entangle,v,0,1,0,0,0,0
entanglement,n,0,1,0,0,0,0
entertain,v,1,0,0,0,0,0
entreat,v,0,1,0,0,0,0
entrepreneurial,a,1,0,0,0,0,0
entrust,v,1,0,0,0,0,0
epidemic,n,0,1,0,0,0,0
epithet,n,0,1,0,0,0,0
equality,n,1,0,0,0,0,0
equitable,a,1,0,0,0,0,0
equivocal,a,0,1,0,0,0,0
eradicate,v,0,1,0,0,0,0
err,v,0,1,0,0,0,0
erroneous,a,0,1,0,0,0,0
error,n,0,1,0,0,0,0
esoteric,a,0,1,0,0,0,0
essential,a,1,0,0,0,0,0
