poslist[key],positive,negative,sentiment,ambiguous,entity,negation,acceptance,anger,anticipation,disgust,fear,guilt,interest,joy,sadness,shame,surprise
a/DT riddle/NN wrapped/VBN up/RP in/IN an/DT enigma/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT rising/VBG tide/NN lifts/VBZ all/DT boats/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a/DT scholar/NN and/CC a/DT gentleman/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
about/IN time/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
about/RB turn/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above/IN SBJ$ bend/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above/IN the/DT law/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above/IN the/DT salt/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above/RB and/CC beyond/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abram/NN men/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abstract/JJ nonsense/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accident/NN of/IN birth/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accident/NN waiting/VBG to/TO happen/VB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
according/VBG to/TO Hoyle/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace/NN in/IN the/DT hole/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace/NN of/IN spades/NNS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace/NN up/IN SBJ$ sleeve/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acid/NN test/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acknowledge/VB the/DT corn/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
across/IN the/DT board/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
across/IN the/DT pond/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
act/NN of/IN parliament/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
act/VB SBJ$ age/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
act/VB up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active/JJ citizen/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad/NN fontes/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam/NNP Tiler/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add/VB fuel/NN to/TO fire/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add/VB fuel/NN to/TO the/DT fire/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add/VB insult/NN to/TO injury/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admiral/NN of/IN the/DT blue/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral/NNP of/IN the/DT Narrow/NNP Seas/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after/IN SBJ$ own/JJ heart/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after/IN the/DT fact/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
against/IN all/DT odds/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
against/IN the/DT collar/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
against/IN the/DT grain/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age/NN before/IN beauty/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agree/VBP to/TO disagree/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahead/RB of/IN SBJ$ time/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahead/RB of/IN the/DT game/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
air/NN rage/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ale/NN post/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT bark/NN and/CC no/DT bite/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT came/VBD out/RB in/IN the/DT wash/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT decked/VBN out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT duck/NN or/CC no/DT dinner/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT ears/NNS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all/DT eyes/NNS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all/DT eyes/NNS and/CC ears/NNS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all/DT fired/VBD up/RB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
all/DT fur/NN coat/NN and/CC no/DT knickers/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT hat/NN and/CC no/DT cattle/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT hell/NN breaks/VBZ loose/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT hell/NN broke/VBD loose/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT holiday/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT hollow/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT in/IN a/DT day/NN 's/POS work/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT it/PRP 's/VBZ cracked/VBN up/RP to/TO be/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT mouth/NN and/CC no/DT trousers/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT mouth/NN and/CC trousers/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT nations/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT of/IN a/DT sudden/JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
all/DT of/IN the/DT sudden/JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
all/DT over/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN but/CC the/DT shouting/VBG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN grumble/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN hell/NN 's/POS half/NN acre/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN the/DT board/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN the/DT map/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN the/DT place/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN the/DT shop/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT over/IN with/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"all/DT right/NN ,/, my/PRP$ lover/NN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT 's/VBZ fair/JJ in/IN love/NN and/CC war/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT SBJ$ eggs/NNS in/IN one/CD basket/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT talk/NN and/CC no/DT cider/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT thumbs/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/DT walks/NNS of/IN life/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT and/CC sundry/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT that/DT jazz/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT the/DT marbles/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT the/DT rage/NN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT the/DT tea/NN in/IN China/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT the/DT way/NN to/TO Egery/NNP and/CC back/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all/PDT to/TO smash/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all-over/RB SBJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almighty/JJ dollar/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
along/RB about/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amateur/JJ hour/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambassador/NN of/IN Morocco/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amber/JJ nectar/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amen/NNS curler/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American/JJ Dream/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an/DT apple/NN a/DT day/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an/DT axe/NN to/TO grind/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an/DT offer/NN SBJ ca/MD n't/RB refuse/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an/DT old/JJ hand/NN at/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and/CC the/DT horse/NN SBJ ride/VB in/IN on/IN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and/CC then/RB some/DT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angel/NN back/VB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angel/NN backing/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
angel/NN investor/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
angel/NN investors/NNS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
angel/NN 's/POS advocate/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angle/NN for/IN farthings/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
another/DT nail/NN in/IN SBJ$ coffin/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
any/DT press/NN is/VBZ good/JJ press/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anything/NN goes/VBZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ape/NN leader/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apothecary/NN 's/POS bill/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apothecary/NN 's/POS Latin/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple/NN dumplin/NN shop/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple/NN of/IN SBJ$ eye/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apples/NNS and/CC oranges/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apply/VB SBJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apres/NNS ski/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
April/NNP showers/NNS bring/VBP May/NNP flowers/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apron/NN string/NN hold/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arch/NN dell/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arch/NN doxy/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arch/NN duke/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are/VBP your/PRP$ ears/NNS burning/VBG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ark/NN ruffian/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm/NN and/CC a/DT leg/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm/NN candy/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm/NN 's/POS length/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
armed/VBN to/TO the/DT teeth/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around/IN Robin/NNP Hood/NNP 's/POS barn/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around/IN the/DT bend/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
around/IN the/DT clock/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arse/JJ end/NN of/IN nowhere/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arse/NN about/IN face/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arse/NN over/IN tit/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsy/NN varsey/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/IN best/JJS SBJ can/MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/IN luck/NN would/MD have/VB it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/IN the/DT crow/NN flies/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/IN well/RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/RB good/JJ as/IN SBJ$ word/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as/RB well/RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ask/VB for/IN it/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ask/VB for/IN the/DT moon/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ask/VB my/PRP$ arse/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asleep/RB at/IN the/DT switch/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asphalt/NN jungle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass/NN into/IN gear/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass/NN over/IN teakettle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assume/VB the/DT mantle/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT glance/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT loss/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT loss/NN for/IN words/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT moment/NN 's/POS notice/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT pinch/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN a/DT stand/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN all/DT hours/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN arm/NN 's/POS length/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN best/JJS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN cross/NN purposes/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN cross-purposes/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN death/NN 's/POS door/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN full/JJ tilt/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN latter/JJ Lammas/NNP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN loggerheads/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN loose/JJ ends/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN peace/NN with/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN SBJ$ beck/NN and/CC call/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN SBJ$ fingertips/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN sixes/NNS and/CC sevens/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT best/JJS of/IN times/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT drop/NN of/IN a/DT hat/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT end/NN of/IN SBJ$ tether/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT end/NN of/IN the/DT road/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT high/JJ port/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT mercy/NN of/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at/IN the/DT top/NN of/IN SBJ$ lungs/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athanasian/NNP wench/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attic/JJ salt/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN bawler/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN cackler/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN cackletub/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN dipper/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN diver/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN gogler/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN mort/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN prickear/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autem/NN quaver/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avant/JJ la/NNP lettre/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
away/RB with/IN the/DT fairies/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babe/NN in/IN arms/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babe/NN in/IN the/DT woods/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babe/NN magnet/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babes/NNS in/IN the/DT wood/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baby/NN blues/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/NN burner/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
back/NN gammon/NN player/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/NN of/IN beyond/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/NN office/NN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
back/NN water/NN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/RB down/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/RB off/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/RB to/TO our/PRP$ muttons/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/RB to/TO square/NN one/CD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back/RB to/TO the/DT drawing/NN board/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back-cloth/NN star/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back-handed/JJ compliment/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backseat/NN driver/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacon/NN fed/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ apple/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ blood/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ egg/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ for/IN you/PRP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ iron/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ joke/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ news/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ penny/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ taste/NN in/IN SBJ$ mouth/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad/JJ to/TO the/DT bone/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badge/NN bunny/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bag/NN and/CC baggage/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bag/NN of/IN bones/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bag/NN of/IN rations/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bail/NN out/RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakers/NNS dozen/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balance/NN out/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balance/VB the/DT books/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balancing/NN act/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balloon/NN goes/VBZ up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ballpark/NN estimate/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ballpark/NN figure/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balum/NN rancum/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN for/IN the/DT buck/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN straw/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN to/TO rights/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN up/IN cove/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bang/NN up/IN job/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banged/VBN up/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bank/NN night/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankers/NNS '/POS hours/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banyan/JJ day/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baptism/NN by/IN fire/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bar/NN star/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barge/NN in/IN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bark/NN up/IN the/DT wrong/JJ tree/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barmacide/NNP feast/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barn/NN burner/NN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barn/NN find/VB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barrel/NN of/IN laughs/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barrel/NN of/IN monkeys/NNS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
